identifier,IA_ID,IA_LABEL
Bias0,94.0,He
Bias0,95.0,could
Bias0,96.0,not
Bias0,97.0,answer
Bias0,98.0,questions
Bias0,99.0,when
Bias0,100.0,he
Bias0,101.0,was
Bias0,102.0,unable
Bias0,103.0,to
Bias0,104.0,see
Bias0,105.0,the
Bias0,106.0,person
Bias0,107.0,who
Bias0,108.0,posed
Bias0,109.0,the
Bias0,110.0,questions
Bias0,111.0,or
Bias0,112.0,when
Bias0,113.0,the
Bias0,114.0,person
Bias0,115.0,asking
Bias0,116.0,the
Bias0,117.0,questions
Bias0,118.0,did
Bias0,119.0,not
Bias0,120.0,know
Bias0,121.0,the
Bias0,122.0,correct
Bias0,123.0,answer
Bias0,124.0,.
Bias0,125.0,","
Bias0,126.0,","
Bias0,127.0,","
Bias1,1.0,The
Bias1,2.0,psychologists
Bias1,3.0,hypothesized
Bias1,4.0,that
Bias1,5.0,when
Bias1,6.0,the
Bias1,7.0,person
Bias1,8.0,asking
Bias1,9.0,the
Bias1,10.0,question
Bias1,11.0,knew
Bias1,12.0,the
Bias1,13.0,answer
Bias1,14.0,he
Bias1,15.0,or
Bias1,16.0,she
Bias1,17.0,would
Bias1,18.0,make
Bias1,19.0,some
Bias1,20.0,small
Bias1,21.0,movement
Bias1,22.0,that
Bias1,23.0,Hans
Bias1,24.0,could
Bias1,25.0,use
Bias1,26.0,when
Bias1,27.0,answering
Bias1,28.0,the
Bias1,29.0,question
Bias1,30.0,.
Bias1,31.0,When
Bias1,32.0,the
Bias1,33.0,person
Bias1,34.0,asking
Bias1,35.0,the
Bias1,36.0,questions
Bias1,37.0,was
Bias1,38.0,behind
Bias1,39.0,a
Bias1,40.0,wall
Bias1,41.0,so
Bias1,42.0,that
Bias1,43.0,Hans
Bias1,44.0,could
Bias1,45.0,not
Bias1,46.0,see
Bias1,47.0,these
Bias1,48.0,small
Bias1,49.0,gestures
Bias1,50.0,","
Bias1,51.0,the
Bias1,52.0,horse
Bias1,53.0,could
Bias1,54.0,not
Bias1,55.0,pick
Bias1,56.0,up
Bias1,57.0,on
Bias1,58.0,what
Bias1,59.0,the
Bias1,60.0,correct
Bias1,61.0,answer
Bias1,62.0,might
Bias1,63.0,be
Bias1,64.0,and
Bias1,65.0,therefore
Bias1,66.0,could
Bias1,67.0,not
Bias1,68.0,answer
Bias1,69.0,questions
Bias1,70.0,correctly
Bias1,71.0,.
Bias1,72.0,The
Bias1,73.0,psychologists
Bias1,74.0,'
Bias1,75.0,prediction
Bias1,76.0,was
Bias1,77.0,indeed
Bias1,78.0,correct
Bias1,79.0,debunking
Bias1,80.0,the
Bias1,81.0,tale
Bias1,82.0,of
Bias1,83.0,Clever
Bias1,84.0,Hans
Bias1,85.0,.
Bias1,86.0,","
Bias1,87.0,","
Bias2,1.0,The
Bias2,2.0,term
Bias2,3.0,'
Bias2,4.0,bias
Bias2,5.0,'
Bias2,6.0,is
Bias2,7.0,used
Bias2,8.0,to
Bias2,9.0,describe
Bias2,10.0,the
Bias2,11.0,ways
Bias2,12.0,the
Bias2,13.0,results
Bias2,14.0,of
Bias2,15.0,the
Bias2,16.0,experiment
Bias2,17.0,can
Bias2,18.0,be
Bias2,19.0,affected
Bias2,20.0,by
Bias2,21.0,the
Bias2,22.0,beliefs
Bias2,23.0,of
Bias2,24.0,a
Bias2,25.0,researcher
Bias2,26.0,or
Bias2,27.0,participants
Bias2,28.0,in
Bias2,29.0,the
Bias2,30.0,study
Bias2,31.0,.
Bias2,32.0,A
Bias2,33.0,bias
Bias2,34.0,is
Bias2,35.0,a
Bias2,36.0,tendency
Bias2,37.0,in
Bias2,38.0,a
Bias2,39.0,certain
Bias2,40.0,direction
Bias2,41.0,.
Bias2,42.0,In
Bias2,43.0,the
Bias2,44.0,case
Bias2,45.0,of
Bias2,46.0,Clever
Bias2,47.0,Hans
Bias2,48.0,","
Bias2,49.0,the
Bias2,50.0,person
Bias2,51.0,asking
Bias2,52.0,the
Bias2,53.0,question
Bias2,54.0,was
Bias2,55.0,biased
Bias2,56.0,in
Bias2,57.0,that
Bias2,58.0,she
Bias2,59.0,or
Bias2,60.0,he
Bias2,61.0,expected
Bias2,62.0,the
Bias2,63.0,horse
Bias2,64.0,to
Bias2,65.0,give
Bias2,66.0,the
Bias2,67.0,correct
Bias2,68.0,answer
Bias2,69.0,.
Bias2,70.0,This
Bias2,71.0,most
Bias2,72.0,likely
Bias2,73.0,led
Bias2,74.0,the
Bias2,75.0,person
Bias2,76.0,to
Bias2,77.0,make
Bias2,78.0,gestures
Bias2,79.0,that
Bias2,80.0,gave
Bias2,81.0,away
Bias2,82.0,the
Bias2,83.0,correct
Bias2,84.0,or
Bias2,85.0,expected
Bias2,86.0,response
Bias2,87.0,.
Bias2,88.0,Now
Bias2,89.0,Hans
Bias2,90.0,really
Bias2,91.0,was
Bias2,92.0,an
Bias2,93.0,exceptionally
Bias2,94.0,sharp
Bias2,95.0,horse
Bias2,96.0,:
Bias2,97.0,he
Bias2,98.0,learned
Bias2,99.0,to
Bias2,100.0,look
Bias2,101.0,for
Bias2,102.0,small
Bias2,103.0,nonverbal
Bias2,104.0,movements
Bias2,105.0,that
Bias2,106.0,signaled
Bias2,107.0,to
Bias2,108.0,him
Bias2,109.0,to
Bias2,110.0,stop
Bias2,111.0,tapping
Bias2,112.0,his
Bias2,113.0,hooves
Bias2,114.0,.
Bias2,115.0,However
Bias2,116.0,he
Bias2,117.0,was
Bias2,118.0,not
Bias2,119.0,really
Bias2,120.0,able
Bias2,121.0,to
Bias2,122.0,calculate
Bias2,123.0,square
Bias2,124.0,roots
Bias2,125.0,","
Bias2,126.0,spell
Bias2,127.0,","
Bias2,128.0,or
Bias2,129.0,do
Bias2,130.0,other
Bias2,131.0,mental
Bias2,132.0,tasks
Bias2,133.0,.
Bias2,134.0,","
Bias2,135.0,","
Bias3,1.0,One
Bias3,2.0,method
Bias3,3.0,for
Bias3,4.0,reducing
Bias3,5.0,the
Bias3,6.0,impact
Bias3,7.0,of
Bias3,8.0,bias
Bias3,9.0,is
Bias3,10.0,to
Bias3,11.0,use
Bias3,12.0,blind
Bias3,13.0,or
Bias3,14.0,double
Bias3,15.0,blind
Bias3,16.0,procedures
Bias3,17.0,.
Bias3,18.0,Researchers
Bias3,19.0,could
Bias3,20.0,use
Bias3,21.0,placebos
Bias3,22.0,:
Bias3,23.0,substances
Bias3,24.0,or
Bias3,25.0,procedures
Bias3,26.0,that
Bias3,27.0,are
Bias3,28.0,not
Bias3,29.0,expected
Bias3,30.0,to
Bias3,31.0,have
Bias3,32.0,an
Bias3,33.0,effect
Bias3,34.0,on
Bias3,35.0,an
Bias3,36.0,outcome
Bias3,37.0,.
Bias3,38.0,If
Bias3,39.0,an
Bias3,40.0,experimenter
Bias3,41.0,was
Bias3,42.0,probing
Bias3,43.0,whether
Bias3,44.0,chicken
Bias3,45.0,soup
Bias3,46.0,really
Bias3,47.0,cures
Bias3,48.0,colds
Bias3,49.0,she
Bias3,50.0,could
Bias3,51.0,implement
Bias3,52.0,an
Bias3,53.0,experiment
Bias3,54.0,in
Bias3,55.0,which
Bias3,56.0,some
Bias3,57.0,individuals
Bias3,58.0,with
Bias3,59.0,colds
Bias3,60.0,eat
Bias3,61.0,chicken
Bias3,62.0,soup
Bias3,63.0,while
Bias3,64.0,others
Bias3,65.0,ingest
Bias3,66.0,some
Bias3,67.0,placebo
Bias3,68.0,treatment
Bias3,69.0,such
Bias3,70.0,as
Bias3,71.0,drinking
Bias3,72.0,broth
Bias3,73.0,that
Bias3,74.0,resembles
Bias3,75.0,real
Bias3,76.0,chicken
Bias3,77.0,soup
Bias3,78.0,but
Bias3,79.0,doesn't
Bias3,82.0,contain
Bias3,83.0,chicken
Bias3,84.0,.
Bias3,85.0,If
Bias3,86.0,the
Bias3,87.0,participants
Bias3,88.0,are
Bias3,89.0,naive
Bias3,90.0,to
Bias3,91.0,which
Bias3,92.0,soup
Bias3,93.0,they
Bias3,94.0,receive
Bias3,95.0,the
Bias3,96.0,research
Bias3,97.0,design
Bias3,98.0,is
Bias3,99.0,called
Bias3,100.0,'
Bias3,101.0,blind
Bias3,102.0,'
Bias3,103.0,.
Bias4,1.0,In
Bias4,2.0,the
Bias4,3.0,behavioral
Bias4,4.0,sciences
Bias4,5.0,","
Bias4,6.0,the
Bias4,7.0,experimenter's
Bias4,10.0,hypothesis
Bias4,11.0,may
Bias4,12.0,unintentionally
Bias4,13.0,influence
Bias4,14.0,their
Bias4,15.0,behavior
Bias4,16.0,toward
Bias4,17.0,the
Bias4,18.0,subjects
Bias4,20.0,in
Bias4,21.0,such
Bias4,22.0,a
Bias4,23.0,way
Bias4,24.0,as
Bias4,25.0,to
Bias4,26.0,increase
Bias4,27.0,the
Bias4,28.0,likelihood
Bias4,29.0,that
Bias4,30.0,the
Bias4,31.0,participants
Bias4,32.0,will
Bias4,33.0,confirm
Bias4,34.0,the
Bias4,35.0,investigator's
Bias4,38.0,hypothesis
Bias4,39.0,or
Bias4,40.0,expectation
Bias4,41.0,;
Bias4,42.0,this
Bias4,43.0,is
Bias4,44.0,known
Bias4,45.0,as
Bias4,46.0,an
Bias4,47.0,experimenter
Bias4,48.0,expectancy
Bias4,49.0,effect
Bias4,50.0,.
Bias4,51.0,We
Bias4,52.0,are
Bias4,53.0,speaking
Bias4,54.0,then
Bias4,55.0,of
Bias4,56.0,the
Bias4,57.0,investigator's
Bias4,60.0,hypothesis
Bias4,61.0,as
Bias4,62.0,a
Bias4,63.0,self-fulfilling
Bias4,64.0,prophecy
Bias4,65.0,.
Bias4,66.0,The
Bias4,67.0,experimenter
Bias4,68.0,prophesies
Bias4,69.0,an
Bias4,70.0,event
Bias4,71.0,(
Bias4,72.0,working
Bias4,73.0,hypothesis
Bias4,74.0,)
Bias4,75.0,","
Bias4,76.0,and
Bias4,77.0,the
Bias4,78.0,expectation
Bias4,79.0,of
Bias4,80.0,the
Bias4,81.0,event
Bias4,82.0,then
Bias4,83.0,changes
Bias4,84.0,the
Bias4,85.0,behavior
Bias4,86.0,of
Bias4,87.0,the
Bias4,88.0,prophet
Bias4,89.0,(
Bias4,90.0,experimenter
Bias4,91.0,in
Bias4,92.0,such
Bias4,93.0,a
Bias4,94.0,way
Bias4,95.0,as
Bias4,96.0,to
Bias4,97.0,make
Bias4,98.0,the
Bias4,99.0,prophesied
Bias4,100.0,event
Bias4,101.0,more
Bias4,102.0,likely
Bias4,103.0,.
Bias4,104.0,","
Bias4,105.0,","
Bias4,106.0,the
Bias4,107.0,)
Bias4,108.0,the
Bias5,1.0,Keep
Bias5,2.0,in
Bias5,3.0,mind
Bias5,4.0,that
Bias5,5.0,with
Bias5,6.0,experimenter
Bias5,7.0,bias
Bias5,8.0,","
Bias5,9.0,the
Bias5,10.0,experimenter
Bias5,11.0,is
Bias5,12.0,often
Bias5,13.0,not
Bias5,14.0,intentionally
Bias5,15.0,giving
Bias5,16.0,cues
Bias5,17.0,about
Bias5,18.0,how
Bias5,19.0,to
Bias5,20.0,respond
Bias5,21.0,and
Bias5,22.0,may
Bias5,23.0,be
Bias5,24.0,unaware
Bias5,25.0,of
Bias5,26.0,the
Bias5,27.0,biases
Bias5,28.0,they
Bias5,29.0,hold
Bias5,30.0,.
Bias5,31.0,It
Bias5,32.0,is
Bias5,33.0,also
Bias5,34.0,conceivable
Bias5,35.0,to
Bias5,36.0,have
Bias5,37.0,a
Bias5,38.0,blind
Bias5,39.0,study
Bias5,40.0,in
Bias5,41.0,which
Bias5,42.0,the
Bias5,43.0,participant
Bias5,44.0,is
Bias5,45.0,consciously
Bias5,46.0,aware
Bias5,47.0,of
Bias5,48.0,his
Bias5,49.0,or
Bias5,50.0,her
Bias5,51.0,group
Bias5,52.0,membership
Bias5,53.0,but
Bias5,54.0,the
Bias5,55.0,experimenter
Bias5,56.0,is
Bias5,57.0,unaware
Bias5,58.0,of
Bias5,59.0,which
Bias5,60.0,group
Bias5,61.0,the
Bias5,62.0,participant
Bias5,63.0,is
Bias5,64.0,in
Bias5,65.0,.
Bias5,66.0,When
Bias5,67.0,neither
Bias5,68.0,the
Bias5,69.0,participant
Bias5,70.0,nor
Bias5,71.0,the
Bias5,72.0,experimenter
Bias5,73.0,knows
Bias5,74.0,which
Bias5,75.0,group
Bias5,76.0,the
Bias5,77.0,participant
Bias5,78.0,is
Bias5,79.0,in
Bias5,80.0,it
Bias5,81.0,is
Bias5,82.0,called
Bias5,83.0,'
Bias5,84.0,double-blind
Bias5,85.0,'
Bias5,86.0,","
Bias5,87.0,because
Bias5,88.0,both
Bias5,89.0,are
Bias5,90.0,'
Bias5,91.0,blind
Bias5,92.0,'
Bias5,93.0,to
Bias5,94.0,the
Bias5,95.0,condition
Bias5,96.0,.
Bias5,97.0,This
Bias5,98.0,design
Bias5,99.0,is
Bias5,100.0,one
Bias5,101.0,tactic
Bias5,102.0,that
Bias5,103.0,can
Bias5,104.0,be
Bias5,105.0,used
Bias5,106.0,to
Bias5,107.0,circumvent
Bias5,108.0,the
Bias5,109.0,problem
Bias5,110.0,of
Bias5,111.0,unintentional
Bias5,112.0,experimenter
Bias5,113.0,bias
Bias5,114.0,.
Bias5,115.0,","
Bias6,1.0,Let's
Bias6,4.0,consider
Bias6,5.0,an
Bias6,6.0,example
Bias6,7.0,from
Bias6,8.0,Homeopathy
Bias6,9.0,:
Bias6,10.0,this
Bias6,11.0,is
Bias6,12.0,a
Bias6,13.0,theory
Bias6,14.0,of
Bias6,15.0,treating
Bias6,16.0,symptoms
Bias6,17.0,in
Bias6,18.0,which
Bias6,19.0,a
Bias6,20.0,person
Bias6,21.0,who
Bias6,22.0,suffers
Bias6,23.0,from
Bias6,24.0,a
Bias6,25.0,particular
Bias6,26.0,symptom
Bias6,27.0,is
Bias6,28.0,treated
Bias6,29.0,with
Bias6,30.0,very
Bias6,31.0,dilute
Bias6,32.0,medicines
Bias6,33.0,","
Bias6,34.0,usually
Bias6,35.0,poisonous
Bias6,36.0,matter
Bias6,37.0,.
Bias6,38.0,The
Bias6,39.0,idea
Bias6,40.0,is
Bias6,41.0,that
Bias6,42.0,a
Bias6,43.0,substance
Bias6,44.0,can
Bias6,45.0,work
Bias6,46.0,as
Bias6,47.0,a
Bias6,48.0,cure
Bias6,49.0,even
Bias6,50.0,when
Bias6,51.0,it
Bias6,52.0,is
Bias6,53.0,given
Bias6,54.0,in
Bias6,55.0,infinitesimal
Bias6,56.0,doses
Bias6,57.0,.
Bias6,58.0,One
Bias6,59.0,could
Bias6,60.0,take
Bias6,61.0,one
Bias6,62.0,drop
Bias6,63.0,of
Bias6,64.0,medicine
Bias6,65.0,(
Bias6,66.0,a
Bias6,67.0,poison
Bias6,68.0,and
Bias6,69.0,dilute
Bias6,70.0,it
Bias6,71.0,with
Bias6,72.0,100
Bias6,73.0,drops
Bias6,74.0,of
Bias6,75.0,water
Bias6,76.0,then
Bias6,77.0,take
Bias6,78.0,a
Bias6,79.0,drop
Bias6,80.0,of
Bias6,81.0,the
Bias6,82.0,resulting
Bias6,83.0,mixture
Bias6,84.0,and
Bias6,85.0,dilute
Bias6,86.0,that
Bias6,87.0,again
Bias6,88.0,repeating
Bias6,89.0,this
Bias6,90.0,process
Bias6,91.0,until
Bias6,92.0,it
Bias6,93.0,is
Bias6,94.0,probable
Bias6,95.0,that
Bias6,96.0,no
Bias6,97.0,molecules
Bias6,98.0,of
Bias6,99.0,the
Bias6,100.0,original
Bias6,101.0,substance
Bias6,102.0,remain
Bias6,103.0,.
Bias6,104.0,According
Bias6,105.0,to
Bias6,106.0,homeopathy
Bias6,107.0,water
Bias6,108.0,has
Bias6,109.0,memory
Bias6,110.0,so
Bias6,111.0,it
Bias6,112.0,can
Bias6,113.0,remember
Bias6,114.0,the
Bias6,115.0,chemical
Bias6,116.0,that
Bias6,117.0,was
Bias6,118.0,originally
Bias6,119.0,present
Bias6,120.0,and
Bias6,121.0,still
Bias6,122.0,possesses
Bias6,123.0,curative
Bias6,124.0,properties
Bias6,125.0,.
Bias6,126.0,often
Bias6,127.0,)
Bias6,128.0,","
Bias6,129.0,","
Bias6,130.0,","
Bias6,131.0,","
Bias7,1.0,Imagine
Bias7,2.0,that
Bias7,3.0,an
Bias7,4.0,experimenter
Bias7,5.0,who
Bias7,6.0,believes
Bias7,7.0,in
Bias7,8.0,homeopathy
Bias7,9.0,gave
Bias7,10.0,participants
Bias7,11.0,this
Bias7,12.0,solution
Bias7,13.0,and
Bias7,14.0,asked
Bias7,15.0,participants
Bias7,16.0,to
Bias7,17.0,record
Bias7,18.0,how
Bias7,19.0,they
Bias7,20.0,felt
Bias7,21.0,every
Bias7,22.0,day
Bias7,23.0,for
Bias7,24.0,a
Bias7,25.0,week
Bias7,26.0,.
Bias7,27.0,Would
Bias7,28.0,the
Bias7,29.0,experimenter
Bias7,30.0,inadvertently
Bias7,31.0,communicate
Bias7,32.0,their
Bias7,33.0,beliefs
Bias7,34.0,about
Bias7,35.0,the
Bias7,36.0,drug
Bias7,37.0,to
Bias7,38.0,the
Bias7,39.0,participants
Bias7,40.0,?
Bias7,41.0,Would
Bias7,42.0,this
Bias7,43.0,affect
Bias7,44.0,how
Bias7,45.0,they
Bias7,46.0,rated
Bias7,47.0,their
Bias7,48.0,day-to-day
Bias7,49.0,feelings
Bias7,50.0,?
Bias7,51.0,Competent
Bias7,52.0,researchers
Bias7,53.0,should
Bias7,54.0,be
Bias7,55.0,able
Bias7,56.0,to
Bias7,57.0,think
Bias7,58.0,about
Bias7,59.0,ways
Bias7,60.0,to
Bias7,61.0,get
Bias7,62.0,around
Bias7,63.0,this
Bias7,64.0,bias
Bias7,65.0,.
Bias7,66.0,One
Bias7,67.0,way
Bias7,68.0,is
Bias7,69.0,to
Bias7,70.0,have
Bias7,71.0,the
Bias7,72.0,experimenter
Bias7,73.0,not
Bias7,74.0,know
Bias7,75.0,the
Bias7,76.0,solution
Bias7,77.0,-
Bias7,78.0,homeopathic
Bias7,79.0,medicine
Bias7,80.0,or
Bias7,81.0,just
Bias7,83.0,plain
Bias7,84.0,tap
Bias7,85.0,water
Bias7,86.0,-
Bias7,87.0,that
Bias7,88.0,is
Bias7,89.0,given
Bias7,90.0,to
Bias7,91.0,each
Bias7,92.0,participant
Bias7,93.0,.
Bias7,94.0,If
Bias7,95.0,the
Bias7,96.0,experimenter
Bias7,97.0,is
Bias7,98.0,blind
Bias7,99.0,to
Bias7,100.0,the
Bias7,101.0,condition
Bias7,102.0,then
Bias7,103.0,they
Bias7,104.0,cannot
Bias7,105.0,bias
Bias7,106.0,the
Bias7,107.0,results
Bias7,108.0,.
Bias7,109.0,This
Bias7,110.0,is
Bias7,111.0,because
Bias7,112.0,they
Bias7,113.0,aren't
Bias7,116.0,aware
Bias7,117.0,of
Bias7,118.0,each
Bias7,119.0,participant's
Bias7,122.0,group
Bias7,123.0,membership
Bias7,124.0,.
Bias7,125.0,","
Bias7,126.0,","
Bias8,1.0,Recent
Bias8,2.0,experiments
Bias8,3.0,have
Bias8,4.0,shown
Bias8,5.0,that
Bias8,6.0,an
Bias8,7.0,investigator's
Bias8,10.0,expectations
Bias8,11.0,can
Bias8,12.0,indeed
Bias8,13.0,come
Bias8,14.0,to
Bias8,15.0,serve
Bias8,16.0,as
Bias8,17.0,a
Bias8,18.0,self-fulfilling
Bias8,19.0,prophecy
Bias8,20.0,.
Bias8,21.0,In
Bias8,22.0,one
Bias8,23.0,study
Bias8,24.0,a
Bias8,25.0,dozen
Bias8,26.0,experimenters
Bias8,27.0,were
Bias8,28.0,each
Bias8,29.0,given
Bias8,30.0,five
Bias8,31.0,rats
Bias8,32.0,that
Bias8,33.0,were
Bias8,34.0,to
Bias8,35.0,be
Bias8,36.0,taught
Bias8,37.0,to
Bias8,38.0,run
Bias8,39.0,a
Bias8,40.0,maze
Bias8,41.0,.
Bias8,42.0,Half
Bias8,43.0,of
Bias8,44.0,the
Bias8,45.0,experimenters
Bias8,46.0,were
Bias8,47.0,told
Bias8,48.0,their
Bias8,49.0,rats
Bias8,50.0,had
Bias8,51.0,been
Bias8,52.0,specifically
Bias8,53.0,bred
Bias8,54.0,for
Bias8,55.0,high
Bias8,56.0,maze-solving
Bias8,57.0,ability
Bias8,58.0,the
Bias8,59.0,remaining
Bias8,60.0,experimenters
Bias8,61.0,were
Bias8,62.0,told
Bias8,63.0,their
Bias8,64.0,rats
Bias8,65.0,had
Bias8,66.0,been
Bias8,67.0,bred
Bias8,68.0,for
Bias8,69.0,poor
Bias8,70.0,maze
Bias8,71.0,ability
Bias8,72.0,.
Bias8,73.0,There
Bias8,74.0,were
Bias8,75.0,of
Bias8,76.0,course
Bias8,77.0,no
Bias8,78.0,actual
Bias8,79.0,differences
Bias8,80.0,between
Bias8,81.0,the
Bias8,82.0,rats
Bias8,83.0,assigned
Bias8,84.0,to
Bias8,85.0,each
Bias8,86.0,of
Bias8,87.0,the
Bias8,88.0,two
Bias8,89.0,groups
Bias8,90.0,.
Bias8,91.0,The
Bias8,92.0,results
Bias8,93.0,were
Bias8,94.0,clear
Bias8,95.0,.
Bias8,96.0,Rats
Bias8,97.0,that
Bias8,98.0,had
Bias8,99.0,been
Bias8,100.0,run
Bias8,101.0,by
Bias8,102.0,experimenters
Bias8,103.0,expecting
Bias8,104.0,better
Bias8,105.0,performance
Bias8,106.0,showed
Bias8,107.0,significantly
Bias8,108.0,superior
Bias8,109.0,learning
Bias8,110.0,compared
Bias8,111.0,to
Bias8,112.0,rats
Bias8,113.0,run
Bias8,114.0,by
Bias8,115.0,experimenters
Bias8,116.0,expecting
Bias8,117.0,poor
Bias8,118.0,performance
Bias8,119.0,.
Bias8,120.0,","
Bias8,121.0,;
Bias8,122.0,","
Bias8,123.0,","
Bias9,1.0,Another
Bias9,2.0,way
Bias9,3.0,to
Bias9,4.0,control
Bias9,5.0,for
Bias9,6.0,an
Bias9,7.0,expectancy
Bias9,8.0,effect
Bias9,9.0,is
Bias9,10.0,using
Bias9,11.0,an
Bias9,12.0,expectancy
Bias9,13.0,control
Bias9,14.0,design
Bias9,15.0,with
Bias9,16.0,four
Bias9,17.0,groups
Bias9,18.0,.
Bias9,19.0,For
Bias9,20.0,example
Bias9,21.0,consider
Bias9,22.0,the
Bias9,23.0,following
Bias9,24.0,experiment
Bias9,25.0,where
Bias9,26.0,rats
Bias9,27.0,had
Bias9,28.0,to
Bias9,29.0,navigate
Bias9,30.0,a
Bias9,31.0,maze
Bias9,32.0,.
Bias9,33.0,About
Bias9,34.0,half
Bias9,35.0,the
Bias9,36.0,rats
Bias9,37.0,had
Bias9,38.0,been
Bias9,39.0,lesioned
Bias9,40.0,by
Bias9,41.0,removal
Bias9,42.0,of
Bias9,43.0,portions
Bias9,44.0,of
Bias9,45.0,the
Bias9,46.0,brain
Bias9,47.0,.
Bias9,48.0,The
Bias9,49.0,remaining
Bias9,50.0,rats
Bias9,51.0,had
Bias9,52.0,received
Bias9,53.0,only
Bias9,54.0,sham
Bias9,55.0,surgery
Bias9,56.0,which
Bias9,57.0,involved
Bias9,58.0,cutting
Bias9,59.0,through
Bias9,60.0,the
Bias9,61.0,skull
Bias9,62.0,but
Bias9,63.0,no
Bias9,64.0,damage
Bias9,65.0,to
Bias9,66.0,brain
Bias9,67.0,tissue
Bias9,68.0,.
Bias9,69.0,Each
Bias9,70.0,rat
Bias9,71.0,was
Bias9,72.0,labelled
Bias9,73.0,as
Bias9,74.0,lesioned
Bias9,75.0,or
Bias9,76.0,unlesioned
Bias9,77.0,some
Bias9,78.0,correctly
Bias9,79.0,and
Bias9,80.0,some
Bias9,81.0,incorrectly
Bias9,82.0,.
Bias9,83.0,The
Bias9,84.0,study
Bias9,85.0,found
Bias9,86.0,that
Bias9,87.0,lesioned
Bias9,88.0,rats
Bias9,89.0,really
Bias9,90.0,did
Bias9,91.0,perform
Bias9,92.0,worse
Bias9,93.0,but
Bias9,94.0,that
Bias9,95.0,expectancy
Bias9,96.0,bias
Bias9,97.0,also
Bias9,98.0,caused
Bias9,99.0,rats
Bias9,100.0,labelled
Bias9,101.0,as
Bias9,102.0,lesioned
Bias9,103.0,not
Bias9,104.0,to
Bias9,105.0,perform
Bias9,106.0,as
Bias9,107.0,well
Bias9,108.0,as
Bias9,109.0,rats
Bias9,110.0,labelled
Bias9,111.0,as
Bias9,112.0,unlesioned
Bias9,113.0,.
Bias9,114.0,","
Bias9,115.0,","
Bias9,116.0,","
Bias9,117.0,","
CausalClaims0,1.0,College
CausalClaims0,2.0,students
CausalClaims0,3.0,who
CausalClaims0,4.0,have
CausalClaims0,5.0,examinations
CausalClaims0,6.0,the
CausalClaims0,7.0,subsequent
CausalClaims0,8.0,day
CausalClaims0,9.0,might
CausalClaims0,10.0,pull
CausalClaims0,11.0,an
CausalClaims0,12.0,'
CausalClaims0,13.0,all-nighter
CausalClaims0,14.0,'
CausalClaims0,15.0,in
CausalClaims0,16.0,which
CausalClaims0,17.0,they
CausalClaims0,18.0,sacrifice
CausalClaims0,19.0,sleep
CausalClaims0,20.0,for
CausalClaims0,21.0,one
CausalClaims0,22.0,complete
CausalClaims0,23.0,night
CausalClaims0,24.0,of
CausalClaims0,25.0,exam
CausalClaims0,26.0,preparation
CausalClaims0,27.0,.
CausalClaims0,28.0,A
CausalClaims0,29.0,study
CausalClaims0,30.0,measured
CausalClaims0,31.0,the
CausalClaims0,32.0,sleep
CausalClaims0,33.0,habits
CausalClaims0,34.0,of
CausalClaims0,35.0,111
CausalClaims0,36.0,students
CausalClaims0,37.0,to
CausalClaims0,38.0,see
CausalClaims0,39.0,if
CausalClaims0,40.0,there
